feature_set,model,accuracy,precision,recall,f1
Without symptoms_score,Dummy Classifier,0.54,0.54,1.0,0.7012987012987013
Without symptoms_score,Logistic Regression,0.805,0.8631578947368421,0.7592592592592593,0.8078817733990148
Without symptoms_score,Decision Tree,0.71,0.7450980392156863,0.7037037037037037,0.7238095238095238
Without symptoms_score,Random Forest,0.73,0.7596153846153846,0.7314814814814815,0.7452830188679245
With symptoms_score,Dummy Classifier,0.54,0.54,1.0,0.7012987012987013
With symptoms_score,Logistic Regression,0.955,0.9626168224299065,0.9537037037037037,0.958139534883721
With symptoms_score,Decision Tree,0.86,0.8571428571428571,0.8888888888888888,0.8727272727272727
With symptoms_score,Random Forest,0.92,0.9423076923076923,0.9074074074074074,0.9245283018867925
